OBJECTID,COUNTY,CITY,Shape__Area,Shape__Length,GlobalID
47,Orange,Brea,46234997.2148438,68241.9707096387,8520349e-12de-4a99-b7c9-80b763721795
48,Contra Costa,Brentwood,62015016.90625,55421.5446414708,57f44770-2dee-4e7c-b3bb-72ea924d5ffc
49,San Mateo,Brisbane,13141853.6601563,22435.465536382,57a2d229-f92d-4dd1-9918-ff5202225025
50,Santa Barbara,Buellton,6141802.3671875,14624.7621433802,22b6367d-dd78-4c17-a6ef-3c8767d1f32f
51,Orange,Buena Park,39656062.1640625,48303.8377154201,91e1bad8-fe4c-462e-95cc-d9ba0c260efd
52,Los Angeles,Burbank,65680187.7109375,37732.6951002645,6db9ddaa-7063-4c73-876d-194be1e2c587
53,San Mateo,Burlingame,18469807.4257813,33027.5678387048,bfaef773-993c-4454-8272-205fb12fd32d
54,Los Angeles,Calabasas,52298281.7851563,55027.0141093007,485c70b9-9bab-4aeb-be5c-7163cca1743c
55,Imperial,Calexico,31087571.5664063,29186.6599500101,267b9237-8daa-4d25-851a-23948c144c2f
56,Kern,California City,789537582.632813,218543.464220747,af34f78a-3ccb-4bd3-b0b3-43e772f0a9a9
57,Riverside,Calimesa,56203576.0234375,49018.056262052,63e72b98-e528-4e71-9850-38b5c1f0e383
58,Imperial,Calipatria,13738251.6367188,26908.2929220679,1b6ea6c7-e15c-4df7-8918-8fb4f01a65a3
59,Napa,Calistoga,10908956.6210938,18961.5001568051,1168be30-07e6-4065-b24c-48fac689a0b7
60,Ventura,Camarillo,75049422.5078125,81527.131155545,095e1d8c-dc6f-4063-ad62-c4fe61562963
61,Santa Clara,Campbell,24998433.1601563,42631.9448015409,2bbbd31b-a793-4f85-b983-cde31ce0840f
62,Riverside,Canyon Lake,17337155.8125,23490.5798595959,d8a59ca2-77a6-4047-a457-f95f8a4be94c
63,Santa Cruz,Capitola,6563801.6015625,17092.7812002259,27c03839-c5ee-47e4-93a3-48e6b28c06fd
64,San Diego,Carlsbad,144618402.515625,64938.8544561364,5a6fff42-3f29-42e4-b2d9-4b889b46e4fe
65,Monterey,Carmel-by-the-Sea,4207291.578125,11103.4492502443,6a527908-3c40-43d0-91db-0035ab4f4639
66,Santa Barbara,Carpinteria,9769194.74609375,25481.3894968684,d3427c1b-b943-4c8d-9437-f1271cb93334
67,Los Angeles,Carson,71264281.984375,46865.8997333276,f4518762-7f07-4167-bcfe-71639611bd82
