,Acres,Year built,Building sq.ft.
1144,11,1979,309316
1145,11,1978,309141
1146,11,2002,308750
1147,11,1996,308384
1148,11,1990,308030
1149,11,1989,307649
1150,11,2019,307619
1151,11,2011,307082
1152,11,1951,307062
1153,11,1997,306472
1154,11,1974,306446
1155,11,1999,306397
1156,11,2002,306324
1157,11,1998,306287
1158,11,1977,306094
1159,11,1998,306059
1160,11,1981,305197
1161,11,1987,305065
1162,11,1978,304975
1163,11,1999,304947
1164,11,2006,304255
1165,11,2007,304200
1166,11,2020,304114
1167,11,1958,303857
1168,11,1981,303833
1169,11,2021,303501
1171,11,2004,303187
1172,11,1977,303014
1173,11,1999,302717
1174,11,2016,302643
1175,11,1989,302434
1177,11,1996,302101
1178,11,1998,301836
1179,11,2007,301761
1180,11,1998,301719
1181,11,1973,301698
1182,11,1974,301668
1183,11,1979,301456
1184,11,2013,301100
1185,11,1999,301032
1186,11,2005,300953
1187,11,1985,300831
1188,11,1989,300719
1189,11,1976,300578
1190,11,2014,300280
1191,11,2001,300120
1192,11,2003,299727
1193,11,2007,299430
1194,11,2002,299205
1195,11,1971,299086
1196,11,1961,299017
1197,11,1980,298214
1198,11,2014,297988
1199,11,2017,297937
1200,11,1971,297923
1201,11,2008,297371
1202,10,2002,296912
1203,10,2013,296822
1204,10,1987,296458
1205,10,1996,296430
1206,10,2007,296261
1207,10,1966,296201
1208,10,1986,296179
1209,10,1983,296087
1210,10,2020,296040
1211,10,2008,295467
1212,10,1988,295368
1213,10,2007,295250
1214,10,2008,295134
1215,10,1989,294776
1216,10,1977,294770
1217,10,2005,294749
1218,10,2019,294697
1219,10,1985,294694
1220,10,1987,294628
1221,10,1990,294239
1222,10,1987,293653
1223,10,2015,293424
1224,10,1961,293208
1225,10,2001,292542
1226,10,2000,292050
1227,10,1998,292036
1228,10,1991,291883
1229,10,1989,291794
1230,10,1987,291764
1231,10,1980,291720
1232,10,1982,291361
1233,10,1990,291025
1234,10,1970,291024
1235,10,2001,290572
1236,10,2002,289948
1237,10,1988,289772
1238,10,1954,289733
1239,10,2019,289722
1240,10,2017,289371
1241,10,2003,289212
1242,10,1988,289208
1243,10,2004,289146
1244,10,1956,289100
1245,10,2021,288851
1246,10,1980,288618
1247,10,2001,288559
1248,10,2002,288258
1249,10,1972,287617
1250,10,2019,287605
1251,10,1971,287390
1252,10,1977,287384
1253,10,1947,286982
1254,10,1998,286970
1255,10,1967,286890
1256,10,1981,286769
1257,10,2017,286600
1258,10,1998,286299
1259,10,2003,285848
1260,10,1980,285531
1261,10,1981,285454
1262,10,2006,285218
1263,10,2017,285133
1264,10,1986,285110
1265,10,1998,285056
1266,10,2001,284971
1267,10,1999,284956
1268,10,1991,284870
1269,10,2005,284860
1270,10,2012,284605
1271,10,2021,284536
1272,10,1978,284471
1274,10,2020,284455
1275,10,1981,284302
1276,10,2020,284226
1277,10,1954,284208
1278,10,2021,284122
1279,10,1989,284007
1280,10,2004,283981
1281,10,2010,283950
1282,10,2000,283906
1283,10,2002,283892
1284,10,1993,283862
1285,10,1991,283828
1286,10,1991,283701
1287,10,2000,283666
1288,10,1998,283589
1289,10,2021,283415
1290,10,2008,283203
1291,10,2007,283146
1292,10,1996,283139
1293,10,1990,283128
1294,10,2010,283120
1295,10,1970,282928
1296,10,1961,282764
1297,10,1997,282635
1298,10,1980,282466
1299,10,2019,282340
1300,10,1994,282126
1301,10,2000,282090
1302,10,1999,282075
1303,10,1972,282067
1304,10,1987,281986
1305,10,1988,281693
1306,10,2002,281594
1307,10,1990,281427
1308,10,1994,281420
1309,10,1996,281399
1310,10,1998,281396
1311,10,1998,281127
1312,10,1993,281124
1313,10,1980,281087
1314,10,1986,281068
1315,10,1988,281014
1316,10,1972,280988
1317,10,1965,280716
1318,10,1978,280376
1319,10,2016,280295
1320,10,2017,280185
1321,10,2021,280179
1322,10,2021,279963
1323,10,1957,279866
1324,10,2013,279728
1325,10,1987,279707
1326,10,1981,279515
1327,10,1978,279406
1328,10,1979,279229
1329,10,2002,278990
1330,10,1953,278307
1331,10,1988,278211
1332,10,1995,278141
1333,10,1979,277437
1334,10,1983,277272
1335,10,1978,277208
1336,10,2021,277107
1337,10,1998,276960
1338,10,2000,276916
1339,10,2019,276829
1340,10,2005,276552
1341,10,2015,276512
1342,10,2021,276425
1343,10,2004,276172
1344,10,1993,276063
1345,10,1983,275871
1346,10,1974,275859
1347,10,2010,275716
1348,10,1998,275556
1349,10,2015,275489
1351,10,2016,274791
1352,10,2002,274437
1353,10,1959,274363
1354,10,2013,274151
1355,10,1996,273951
1356,10,1989,273934
1357,10,2016,273846
1358,10,2000,273820
1359,10,2019,273634
1360,10,2005,273562
1361,10,1987,272833
1362,10,1960,272808
1363,10,2005,272603
1364,10,1986,272224
1365,10,1975,272205
1366,10,2020,271919
1367,10,1979,271852
1368,10,1987,271797
1369,10,2022,271726
1370,10,2001,271688
1372,10,2006,271051
1373,10,1959,271021
1374,10,1978,270882
1375,10,1989,270768
1376,10,1970,270694
1377,10,1963,270398
1378,10,2017,270333
1379,10,2015,270180
1381,10,1973,270018
1382,10,1956,269945
1383,10,1989,269924
1384,10,1994,269880
1385,10,1994,269855
1386,10,2000,269772
1387,10,1995,269718
1388,10,1997,269710
