Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"06059063605","Census Tract 636.05, Orange County, California","ACSSF","ca","140","00","0007361",,,,,"06","059",,,"063605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063605","Census Tract 636.05",,,,5572,5572,2204,38,6,194,0,1956,1174,5572,1593,1214,30,0,194,0,6,149,3979,990,8,6,0,0,1950,1025
"06059063701","Census Tract 637.01, Orange County, California","ACSSF","ca","140","00","0007362",,,,,"06","059",,,"063701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063701","Census Tract 637.01",,,,6102,6102,2023,0,134,410,39,2930,566,6102,1601,771,0,0,410,39,0,381,4501,1252,0,134,0,0,2930,185
"06059063702","Census Tract 637.02, Orange County, California","ACSSF","ca","140","00","0007363",,,,,"06","059",,,"063702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063702","Census Tract 637.02",,,,6159,6159,3084,93,0,439,47,1735,761,6159,2959,2272,42,0,424,47,0,174,3200,812,51,0,15,0,1735,587
"06059063802","Census Tract 638.02, Orange County, California","ACSSF","ca","140","00","0007364",,,,,"06","059",,,"063802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063802","Census Tract 638.02",,,,3108,3108,2403,31,0,174,14,217,269,3108,2415,2111,31,0,174,14,13,72,693,292,0,0,0,0,204,197
"06059063803","Census Tract 638.03, Orange County, California","ACSSF","ca","140","00","0007365",,,,,"06","059",,,"063803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063803","Census Tract 638.03",,,,4342,4342,3142,28,42,172,28,678,252,4342,2812,2446,28,0,172,28,18,120,1530,696,0,42,0,0,660,132
"06059063805","Census Tract 638.05, Orange County, California","ACSSF","ca","140","00","0007366",,,,,"06","059",,,"063805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063805","Census Tract 638.05",,,,2683,2683,1976,0,6,216,0,141,344,2683,1929,1636,0,0,216,0,0,77,754,340,0,6,0,0,141,267
"06059063806","Census Tract 638.06, Orange County, California","ACSSF","ca","140","00","0007367",,,,,"06","059",,,"063806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063806","Census Tract 638.06",,,,3859,3859,2630,64,73,228,0,323,541,3859,2679,2201,64,0,228,0,0,186,1180,429,0,73,0,0,323,355
"06059063807","Census Tract 638.07, Orange County, California","ACSSF","ca","140","00","0007368",,,,,"06","059",,,"063807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063807","Census Tract 638.07",,,,4789,4789,3087,141,0,347,0,574,640,4789,3365,2560,94,0,347,0,0,364,1424,527,47,0,0,0,574,276
"06059063808","Census Tract 638.08, Orange County, California","ACSSF","ca","140","00","0007369",,,,,"06","059",,,"063808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063808","Census Tract 638.08",,,,5188,5188,2305,20,39,130,11,2293,390,5188,1312,1020,20,0,130,11,76,55,3876,1285,0,39,0,0,2217,335
"06059063902","Census Tract 639.02, Orange County, California","ACSSF","ca","140","00","0007370",,,,,"06","059",,,"063902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063902","Census Tract 639.02",,,,6814,6814,4655,114,0,710,216,653,466,6814,5061,3855,114,0,710,216,18,148,1753,800,0,0,0,0,635,318
"06059063903","Census Tract 639.03, Orange County, California","ACSSF","ca","140","00","0007371",,,,,"06","059",,,"063903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063903","Census Tract 639.03",,,,3804,3804,2413,1,0,669,141,249,331,3804,2394,1545,1,0,656,141,0,51,1410,868,0,0,13,0,249,280
"06059063904","Census Tract 639.04, Orange County, California","ACSSF","ca","140","00","0007372",,,,,"06","059",,,"063904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063904","Census Tract 639.04",,,,4448,4448,2046,22,82,715,0,1241,342,4448,2378,1598,0,15,696,0,0,69,2070,448,22,67,19,0,1241,273
"06059063905","Census Tract 639.05, Orange County, California","ACSSF","ca","140","00","0007373",,,,,"06","059",,,"063905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063905","Census Tract 639.05",,,,3740,3740,2696,19,0,394,0,261,370,3740,3272,2592,19,0,394,0,0,267,468,104,0,0,0,0,261,103
"06059063906","Census Tract 639.06, Orange County, California","ACSSF","ca","140","00","0007374",,,,,"06","059",,,"063906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063906","Census Tract 639.06",,,,6654,6654,3225,180,186,531,7,2094,431,6654,3045,2306,137,0,493,0,0,109,3609,919,43,186,38,7,2094,322
"06059063908","Census Tract 639.08, Orange County, California","ACSSF","ca","140","00","0007375",,,,,"06","059",,,"063908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06059063908","Census Tract 639.08",,,,5826,5826,3531,126,32,1419,0,399,319,5826,4015,2242,126,32,1389,0,41,185,1811,1289,0,0,30,0,358,134
