"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"3022-013-023","Warehousing, Distribution, Storage","1980","2","64830"
"6308-007-016","Warehousing, Distribution, Storage","1968","2","64827"
"2514-002-086","Warehousing, Distribution, Storage","1991","2","64827"
"8114-009-013","Warehousing, Distribution, Storage","1987","2","64795"
"7306-023-046","Warehousing, Distribution, Storage","1978","2","64778"
"8382-019-046","Warehousing, Distribution, Storage","2000","2","64755"
"2206-004-011","Warehousing, Distribution, Storage","1960","2","64746"
"7351-032-001","Warehousing, Distribution, Storage","1967","2","64728"
"2866-018-062","Warehousing, Distribution, Storage","1987","2","64710"
"021126343","storage warehouse","2000","2","64663"
"101208207","storage warehouse","2021","2","64638"
"023801236","storage warehouse","2017","2","64633"
"5282-011-024","Warehousing, Distribution, Storage","1981","2","64617"
"8005-012-018","Warehousing, Distribution, Storage","1986","2","64614"
"7352-009-030","Warehousing, Distribution, Storage","1973","2","64595"
"5458-010-012","Warehousing, Distribution, Storage","1985","2","64581"
"8009-007-045","Warehousing, Distribution, Storage","1987","2","64575"
"023818536","storage warehouse","1988","2","64568"
"8264-002-017","Warehousing, Distribution, Storage","1979","2","64559"
"023818527","storage warehouse","1988","2","64525"
"8378-011-057","Warehousing, Distribution, Storage","2015","2","64521"
"5627-023-046","Warehousing, Distribution, Storage","1986","2","64516"
"7003-005-017","Warehousing, Distribution, Storage","1988","2","64515"
"3111-012-076","Warehousing, Distribution, Storage","1980","2","64514"
"8355-018-019","Warehousing, Distribution, Storage","2000","2","64491"
"4313-024-002","Warehousing, Distribution, Storage","2005","2","64487"
"016-150-71","wholesaling and warehousing","2014","2","64464"
"6382-018-022","Warehousing, Distribution, Storage","1969","2","64410"
"7306-008-048","Warehousing, Distribution, Storage","1956","2","64404"
"8264-003-023","Warehousing, Distribution, Storage","1977","2","64400"
"8264-008-060","Warehousing, Distribution, Storage","1997","2","64392"
"2746-010-002","Warehousing, Distribution, Storage","1979","2","64388"
"7357-026-011","Warehousing, Distribution, Storage","1954","2","64379"
"023108114","storage warehouse","1952","2","64364"
"7351-034-021","Warehousing, Distribution, Storage","1975","2","64331"
"023014144","storage warehouse","1994","2","64320"
"8059-029-004","Warehousing, Distribution, Storage","1977","2","64318"
"023014143","storage warehouse","1994","2","64315"
"6308-015-017","Warehousing, Distribution, Storage","1969","2","64279"
"2206-002-037","Warehousing, Distribution, Storage","2020","2","64278"
"6242-020-050","Warehousing, Distribution, Storage","1987","2","64185"
"7339-002-034","Warehousing, Distribution, Storage","1976","2","64170"
"8615-019-036","Warehousing, Distribution, Storage","1966","2","64105"
"8533-001-055","Warehousing, Distribution, Storage","2002","2","64074"
"011345128","storage warehouse","1987","2","64070"
"011364108","storage warehouse","2000","2","64048"
"101949107","storage warehouse","2008","2","64048"
"250070023","warehouse/dry storage","1984","2","64043"
"279530046","warehouse/dry storage","1910","2","63996"
"210030013","warehouse/dry storage","1986","2","63982"
"022932102","storage warehouse","1985","2","63976"
"7035-022-048","Warehousing, Distribution, Storage","1972","2","63973"
"6336-013-010","Warehousing, Distribution, Storage","1956","2","63970"
"170170032","warehouse/dry storage","2005","2","63966"
"107315102","storage warehouse","2021","2","63964"
"6132-010-013","Warehousing, Distribution, Storage","1973","2","63963"
"4138-014-037","Warehousing, Distribution, Storage","1989","2","63962"
"7352-010-002","Warehousing, Distribution, Storage","1963","2","63935"
"8535-002-039","Warehousing, Distribution, Storage","1987","2","63891"
