"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"066025184","storage warehouse","2018","2","42753"
"6308-001-024","Warehousing, Distribution, Storage","1957","2","42753"
"6336-004-010","Warehousing, Distribution, Storage","1953","2","42746"
"028141105","storage warehouse","2008","2","42740"
"6314-002-016","Warehousing, Distribution, Storage","1966","2","42739"
"2866-060-033","Warehousing, Distribution, Storage","2006","2","42711"
"306461109","storage warehouse","1987","2","42700"
"011335127","storage warehouse","2008","2","42685"
"6336-007-053","Warehousing, Distribution, Storage","1952","2","42679"
"104909218","storage warehouse","2018","2","42676"
"6302-008-022","Warehousing, Distribution, Storage","1986","2","42626"
"7010-015-049","Warehousing, Distribution, Storage","1978","2","42614"
"2466-021-031","Warehousing, Distribution, Storage","2002","2","42614"
"6170-015-025","Warehousing, Distribution, Storage","1954","2","42610"
"2631-001-034","Warehousing, Distribution, Storage","1998","2","42602"
"6354-032-015","Warehousing, Distribution, Storage","1959","2","42601"
"8125-018-030","Warehousing, Distribution, Storage","1983","2","42598"
"4049-008-032","Warehousing, Distribution, Storage","1959","2","42590"
"8009-007-053","Warehousing, Distribution, Storage","1989","2","42580"
"8707-015-053","Warehousing, Distribution, Storage","1986","2","42571"
"6308-016-021","Warehousing, Distribution, Storage","1988","2","42566"
"8005-012-037","Warehousing, Distribution, Storage","1977","2","42552"
"8264-001-112","Warehousing, Distribution, Storage","1978","2","42548"
"104918110","storage warehouse","2007","2","42540"
"102305109","storage warehouse","1990","2","42532"
"3126-027-135","Warehousing, Distribution, Storage","2007","2","42526"
"6332-016-015","Warehousing, Distribution, Storage","2015","2","42488"
"026436101","storage warehouse","1991","1","42470"
"6356-016-006","Warehousing, Distribution, Storage","1981","1","42467"
"023215110","storage warehouse","2003","1","42461"
"8206-022-035","Warehousing, Distribution, Storage","2008","1","42452"
"2746-009-044","Warehousing, Distribution, Storage","2011","1","42446"
"6336-014-012","Warehousing, Distribution, Storage","1966","1","42439"
"2514-002-048","Warehousing, Distribution, Storage","1968","1","42436"
"6354-021-060","Warehousing, Distribution, Storage","1963","1","42428"
"6125-018-007","Warehousing, Distribution, Storage","1960","1","42417"
"011339426","storage warehouse","2001","1","42414"
"6310-002-027","Warehousing, Distribution, Storage","1999","1","42401"
"6236-034-023","Warehousing, Distribution, Storage","1987","1","42401"
"6169-026-021","Warehousing, Distribution, Storage","1988","1","42389"
"6321-008-021","Warehousing, Distribution, Storage","1987","1","42374"
"7352-010-003","Warehousing, Distribution, Storage","1963","1","42368"
"5132-004-032","Warehousing, Distribution, Storage","1971","1","42368"
"8242-025-052","Warehousing, Distribution, Storage","1968","1","42365"
"309119120","storage warehouse","2007","1","42352"
"2305-025-029","Warehousing, Distribution, Storage","1975","1","42343"
"101119104","storage warehouse","2020","1","42328"
"6336-009-026","Warehousing, Distribution, Storage","1959","1","42310"
"5243-005-819","Warehousing, Distribution, Storage","1968","1","42304"
"020914519","storage warehouse","1998","1","42300"
"6303-025-020","Warehousing, Distribution, Storage","1973","1","42296"
"8242-025-008","Warehousing, Distribution, Storage","1970","1","42286"
"2321-004-018","Warehousing, Distribution, Storage","1966","1","42286"
"7119-001-014","Warehousing, Distribution, Storage","1956","1","42264"
"7005-005-061","Warehousing, Distribution, Storage","1973","1","42260"
"5131-003-002","Warehousing, Distribution, Storage","1936","1","42252"
"6308-005-019","Warehousing, Distribution, Storage","1952","1","42247"
"023812128","storage warehouse","2004","1","42240"
"8535-001-031","Warehousing, Distribution, Storage","1999","1","42238"
"8168-001-050","Warehousing, Distribution, Storage","2019","1","42232"
"029215323","storage warehouse","1982","1","42225"
"023822124","storage warehouse","1989","1","42196"
"023812129","storage warehouse","2005","1","42182"
"6356-014-027","Warehousing, Distribution, Storage","1981","1","42177"
"8125-016-020","Warehousing, Distribution, Storage","1978","1","42168"
"6336-003-068","Warehousing, Distribution, Storage","2002","1","42157"
"6303-020-008","Warehousing, Distribution, Storage","1947","1","42140"
"5410-013-010","Warehousing, Distribution, Storage","1990","1","42136"
"4203-027-164","Warehousing, Distribution, Storage","1979","1","42132"
"8009-007-030","Warehousing, Distribution, Storage","1987","1","42115"
"011334329","storage warehouse","1988","1","42114"
"7306-013-022","Warehousing, Distribution, Storage","1959","1","42114"
"7352-008-079","Warehousing, Distribution, Storage","1981","1","42112"
"8378-013-060","Warehousing, Distribution, Storage","2001","1","42110"
"6369-004-003","Warehousing, Distribution, Storage","1959","1","42099"
"2866-018-032","Warehousing, Distribution, Storage","1987","1","42077"
"118330015","warehouse/dry storage","1970","1","42043"
"7315-017-004","Warehousing, Distribution, Storage","1929","1","42040"
"611025028","warehouse/dry storage","1955","1","42035"
"7339-008-018","Warehousing, Distribution, Storage","1979","1","42030"
"8378-012-010","Warehousing, Distribution, Storage","1973","1","42022"
"6308-011-013","Warehousing, Distribution, Storage","1989","1","42022"
"7113-001-025","Warehousing, Distribution, Storage","1985","1","42021"
"8242-026-035","Warehousing, Distribution, Storage","1979","1","42018"
"7306-021-028","Warehousing, Distribution, Storage","1971","1","41982"
"4203-027-160","Warehousing, Distribution, Storage","1979","1","41978"
"246260054","warehouse/dry storage","2002","1","41975"
"3271-028-091","Warehousing, Distribution, Storage","2005","1","41974"
"5167-019-060","Warehousing, Distribution, Storage","1957","1","41956"
"6308-015-076","Warehousing, Distribution, Storage","1997","1","41954"
"8329-006-046","Warehousing, Distribution, Storage","1946","1","41945"
"041522108","storage warehouse","1989","1","41931"
"7352-019-044","Warehousing, Distribution, Storage","1990","1","41926"
"3271-026-010","Warehousing, Distribution, Storage","1999","1","41926"
"5343-001-907","Warehousing, Distribution, Storage","1984","1","41892"
"2149-005-044","Warehousing, Distribution, Storage","1973","1","41880"
"6308-007-009","Warehousing, Distribution, Storage","1945","1","41875"
"026009129","storage warehouse","1970","1","41862"
"7148-014-201","Warehousing, Distribution, Storage","2000","1","41859"
"8069-007-048","Warehousing, Distribution, Storage","1971","1","41858"
"7352-014-016","Warehousing, Distribution, Storage","1978","1","41851"
"6129-004-029","Warehousing, Distribution, Storage","1977","1","41847"
"510370001","ct-warehouse/dry storage","1975","1","41801"
"3005-045-013","Warehousing, Distribution, Storage","2005","1","41790"
"7102-016-012","Warehousing, Distribution, Storage","1953","1","41769"
"8264-002-020","Warehousing, Distribution, Storage","1988","1","41763"
"033609242","storage warehouse","1957","1","41756"
"8005-012-023","Warehousing, Distribution, Storage","1988","1","41750"
"6336-020-039","Warehousing, Distribution, Storage","2001","1","41728"
"8264-015-054","Warehousing, Distribution, Storage","1991","1","41716"
"8168-001-051","Warehousing, Distribution, Storage","2019","1","41712"
"5521-001-029","Warehousing, Distribution, Storage","2000","1","41698"
"5167-009-007","Warehousing, Distribution, Storage","1965","1","41691"
"022908211","storage warehouse","1963","1","41680"
"246260025","warehouse/dry storage","1994","1","41670"
"6303-022-006","Warehousing, Distribution, Storage","1954","1","41668"
"8728-001-019","Warehousing, Distribution, Storage","1984","1","41663"
"022926221","storage warehouse","1981","1","41640"
"8208-005-035","Warehousing, Distribution, Storage","1985","1","41628"
"7351-032-073","Warehousing, Distribution, Storage","1968","1","41621"
"6242-020-044","Warehousing, Distribution, Storage","1992","1","41610"
"023520121","storage warehouse","1990","1","41586"
"7357-025-024","Warehousing, Distribution, Storage","1985","1","41583"
"8011-017-017","Warehousing, Distribution, Storage","1980","1","41576"
"041523122","storage warehouse","1980","1","41571"
"6129-009-047","Warehousing, Distribution, Storage","1966","1","41562"
"6129-009-037","Warehousing, Distribution, Storage","1966","1","41553"
"5254-002-027","Warehousing, Distribution, Storage","1947","1","41538"
"6304-010-006","Warehousing, Distribution, Storage","1947","1","41533"
"6240-010-055","Warehousing, Distribution, Storage","1964","1","41520"
"5801-001-018","Warehousing, Distribution, Storage","1989","1","41506"
"5133-004-001","Warehousing, Distribution, Storage","1910","1","41501"
"8535-002-029","Warehousing, Distribution, Storage","1987","1","41500"
"8206-029-033","Warehousing, Distribution, Storage","2006","1","41497"
"8615-001-403","Warehousing, Distribution, Storage","2017","1","41485"
"7315-037-009","Warehousing, Distribution, Storage","1979","1","41482"
"2324-003-049","Warehousing, Distribution, Storage","2008","1","41482"
"6334-026-004","Warehousing, Distribution, Storage","1957","1","41463"
"029215339","storage warehouse","2001","1","41453"
"8722-038-006","Warehousing, Distribution, Storage","1988","1","41448"
"6224-036-002","Warehousing, Distribution, Storage","1968","1","41436"
"022928418","storage warehouse","2004","1","41433"
"023109117","storage warehouse","2009","1","41429"
"6354-021-013","Warehousing, Distribution, Storage","1956","1","41424"
"8563-002-017","Warehousing, Distribution, Storage","2004","1","41422"
"5593-011-034","Warehousing, Distribution, Storage","1910","1","41414"
"8378-027-039","Warehousing, Distribution, Storage","2015","1","41410"
"2783-028-047","Warehousing, Distribution, Storage","2004","1","41397"
"6308-008-017","Warehousing, Distribution, Storage","1955","1","41393"
"2761-001-812","Warehousing, Distribution, Storage","1910","1","41378"
"6336-003-055","Warehousing, Distribution, Storage","1988","1","41377"
"029220128","storage warehouse","1988","1","41366"
"7524-003-043","Warehousing, Distribution, Storage","1985","1","41366"
"7377-013-011","Warehousing, Distribution, Storage","1999","1","41361"
"7005-006-032","Warehousing, Distribution, Storage","2001","1","41354"
"041524210","storage warehouse","1988","1","41353"
"7319-032-020","Warehousing, Distribution, Storage","1975","1","41349"
"5171-011-006","Warehousing, Distribution, Storage","1953","1","41348"
"102850132","storage warehouse","2020","1","41343"
"210180008","warehouse/dry storage","1973","1","41310"
"7010-015-010","Warehousing, Distribution, Storage","1978","1","41294"
"7319-034-017","Warehousing, Distribution, Storage","1981","1","41286"
"4126-014-071","Warehousing, Distribution, Storage","1986","1","41268"
"4038-006-014","Warehousing, Distribution, Storage","1974","1","41256"
"8760-022-024","Warehousing, Distribution, Storage","1983","1","41255"
"6304-022-045","Warehousing, Distribution, Storage","1966","1","41244"
"8559-003-024","Warehousing, Distribution, Storage","1980","1","41242"
"8264-011-009","Warehousing, Distribution, Storage","1989","1","41234"
"6170-015-021","Warehousing, Distribution, Storage","1953","1","41194"
"2836-066-042","Warehousing, Distribution, Storage","2002","1","41186"
"022911167","storage warehouse","2001","1","41157"
"8242-025-036","Warehousing, Distribution, Storage","1970","1","41123"
"026002109","distribution warehouse","2018","1","41107"
"028135105","storage warehouse","1986","1","41090"
"6302-007-026","Warehousing, Distribution, Storage","1994","1","41085"
"5116-029-057","Warehousing, Distribution, Storage","1989","1","41082"
"6302-005-006","Warehousing, Distribution, Storage","1966","1","41067"
"7212-022-016","Warehousing, Distribution, Storage","1964","1","41034"
"2664-014-035","Warehousing, Distribution, Storage","1910","1","41034"
"7035-016-066","Warehousing, Distribution, Storage","1987","1","41014"
"5243-018-015","Warehousing, Distribution, Storage","1974","1","41013"
"8710-014-001","Warehousing, Distribution, Storage","1996","1","41008"
"8059-005-050","Warehousing, Distribution, Storage","1987","1","41007"
"6303-022-009","Warehousing, Distribution, Storage","1950","1","40998"
"8005-015-042","Warehousing, Distribution, Storage","2000","1","40993"
"6336-004-016","Warehousing, Distribution, Storage","1954","1","40986"
"8206-020-020","Warehousing, Distribution, Storage","1985","1","40978"
"8616-010-019","Warehousing, Distribution, Storage","2001","1","40966"
"023422124","transit warehouse (truck terminal)","1989","1","40961"
"7003-013-009","Warehousing, Distribution, Storage","1980","1","40954"
"5167-008-029","Warehousing, Distribution, Storage","1991","1","40951"
"5442-010-029","Warehousing, Distribution, Storage","1988","1","40942"
"5168-001-004","Warehousing, Distribution, Storage","1923","1","40935"
"305170050","warehouse/dry storage","2010","1","40932"
"6336-016-016","Warehousing, Distribution, Storage","1963","1","40932"
"7306-002-060","Warehousing, Distribution, Storage","1974","1","40919"
"8011-005-024","Warehousing, Distribution, Storage","1965","1","40916"
"2466-020-028","Warehousing, Distribution, Storage","1980","1","40866"
"6129-011-059","Warehousing, Distribution, Storage","1983","1","40857"
"6302-020-051","Warehousing, Distribution, Storage","1990","1","40841"
"8575-018-907","Warehousing, Distribution, Storage","1910","1","40833"
"6310-002-009","Warehousing, Distribution, Storage","1986","1","40832"
"6188-001-016","Warehousing, Distribution, Storage","1980","1","40831"
"7306-013-041","Warehousing, Distribution, Storage","1968","1","40817"
"6336-011-007","Warehousing, Distribution, Storage","1956","1","40804"
"172110005","warehouse/dry storage","2004","1","40799"
"023603106","storage warehouse","1987","1","40793"
"7311-001-002","Warehousing, Distribution, Storage","1973","1","40783"
"8242-030-016","Warehousing, Distribution, Storage","1998","1","40782"
"6354-022-017","Warehousing, Distribution, Storage","1957","1","40777"
"4061-028-052","Warehousing, Distribution, Storage","1987","1","40767"
"5191-025-014","Warehousing, Distribution, Storage","1989","1","40762"
"6147-007-007","Warehousing, Distribution, Storage","1952","1","40760"
"6284-004-016","Warehousing, Distribution, Storage","1973","1","40759"
"7306-012-093","Warehousing, Distribution, Storage","1973","1","40752"
"7339-007-028","Warehousing, Distribution, Storage","1947","1","40738"
"7339-013-018","Warehousing, Distribution, Storage","1982","1","40732"
"6256-004-014","Warehousing, Distribution, Storage","1976","1","40732"
"021122243","storage warehouse","1988","1","40728"
"680102006","warehouse/dry storage","1958","1","40716"
"6302-006-017","Warehousing, Distribution, Storage","1992","1","40711"
"869032018","warehouse/dry storage","1910","1","40706"
"6132-039-026","Warehousing, Distribution, Storage","1982","1","40706"
"029209120","storage warehouse","1960","1","40697"
"7436-003-001","Warehousing, Distribution, Storage","1914","1","40697"
"8168-001-032","Warehousing, Distribution, Storage","1988","1","40687"
"4203-027-165","Warehousing, Distribution, Storage","1980","1","40684"
"4138-014-035","Warehousing, Distribution, Storage","1989","1","40663"
"7001-020-030","Warehousing, Distribution, Storage","1999","1","40630"
"021127214","storage warehouse","2021","1","40618"
"2527-012-008","Warehousing, Distribution, Storage","1980","1","40613"
"023208170","storage warehouse","2003","1","40608"
"2466-011-051","Warehousing, Distribution, Storage","1910","1","40592"
"011327123","storage warehouse","1991","1","40580"
"8011-005-032","Warehousing, Distribution, Storage","2000","1","40556"
"6308-015-023","Warehousing, Distribution, Storage","1970","1","40552"
"8378-027-018","Warehousing, Distribution, Storage","2003","1","40547"
"170330024","warehouse/dry storage","1984","1","40539"
"5169-020-002","Warehousing, Distribution, Storage","1956","1","40535"
"8431-013-015","Warehousing, Distribution, Storage","1994","1","40534"
"6303-022-002","Warehousing, Distribution, Storage","1950","1","40525"
"8639-020-022","Warehousing, Distribution, Storage","1955","1","40522"
"023208171","storage warehouse","2004","1","40516"
"7351-034-045","Warehousing, Distribution, Storage","1978","1","40516"
"7351-034-041","Warehousing, Distribution, Storage","1979","1","40515"
"7351-034-039","Warehousing, Distribution, Storage","1977","1","40515"
"8242-030-015","Warehousing, Distribution, Storage","1998","1","40513"
"011335123","storage warehouse","2008","1","40500"
"2866-010-007","Warehousing, Distribution, Storage","1979","1","40497"
"7005-002-052","Warehousing, Distribution, Storage","1977","1","40476"
"102120206","storage warehouse","2007","1","40472"
"7351-030-008","Warehousing, Distribution, Storage","1974","1","40466"
"2466-011-049","Warehousing, Distribution, Storage","1910","1","40460"
"023109118","storage warehouse","2009","1","40453"
"2632-023-051","Warehousing, Distribution, Storage","1970","1","40451"
"6336-021-018","Warehousing, Distribution, Storage","1989","1","40448"
"022928419","storage warehouse","2004","1","40447"
"5143-026-020","Warehousing, Distribution, Storage","1926","1","40446"
"8082-033-024","Warehousing, Distribution, Storage","1977","1","40422"
"7339-004-011","Warehousing, Distribution, Storage","1988","1","40415"
"8264-015-056","Warehousing, Distribution, Storage","1991","1","40403"
"8727-012-031","Warehousing, Distribution, Storage","1998","1","40383"
"6283-018-018","Warehousing, Distribution, Storage","1964","1","40358"
"5447-023-019","Warehousing, Distribution, Storage","1987","1","40355"
"8114-010-004","Warehousing, Distribution, Storage","1986","1","40340"
"7271-009-001","Warehousing, Distribution, Storage","1980","1","40329"
"2324-003-021","Warehousing, Distribution, Storage","2018","1","40328"
"5033-003-019","Warehousing, Distribution, Storage","1989","1","40326"
"2632-026-016","Warehousing, Distribution, Storage","1973","1","40315"
"5003-035-018","Warehousing, Distribution, Storage","1961","1","40308"
"028023233","distribution warehouse","2019","1","40297"
"022901278","storage warehouse","2021","1","40291"
"6336-020-021","Warehousing, Distribution, Storage","1958","1","40283"
"8011-016-030","Warehousing, Distribution, Storage","2005","1","40279"
"308738210","storage warehouse","1990","1","40272"
"016024248","storage warehouse","1955","1","40259"
"210150009","warehouse/dry storage","1955","1","40254"
"7352-019-038","Warehousing, Distribution, Storage","1989","1","40234"
"6007-007-022","Warehousing, Distribution, Storage","2007","1","40230"
"4237-002-006","Warehousing, Distribution, Storage","1999","1","40206"
"8264-006-039","Warehousing, Distribution, Storage","2007","1","40196"
"8208-023-061","Warehousing, Distribution, Storage","1975","1","40182"
"011364109","storage warehouse","2000","1","40174"
"6126-003-016","Warehousing, Distribution, Storage","1980","1","40157"
"294070040","warehouse/dry storage","2019","1","40155"
"306459119","storage warehouse","2006","1","40153"
"021127545","storage warehouse","2001","1","40141"
"6332-016-013","Warehousing, Distribution, Storage","2006","1","40129"
"6336-012-027","Warehousing, Distribution, Storage","1963","1","40124"
"435220008","warehouse/dry storage","1991","1","40119"
"101218207","storage warehouse","1956","1","40111"
"8206-024-013","Warehousing, Distribution, Storage","1973","1","40102"
"6302-008-031","Warehousing, Distribution, Storage","2002","1","40098"
"6304-016-014","Warehousing, Distribution, Storage","1948","1","40092"
"8719-001-009","Warehousing, Distribution, Storage","1981","1","40086"
"6125-001-008","Warehousing, Distribution, Storage","1958","1","40080"
"8011-005-023","Warehousing, Distribution, Storage","1965","1","40058"
"105016106","storage warehouse","2017","1","40051"
"6332-018-015","Warehousing, Distribution, Storage","1965","1","40049"
"013617135","distribution warehouse","1950","1","40044"
"104939217","storage warehouse","2015","1","40032"
"2305-025-028","Warehousing, Distribution, Storage","1979","1","40027"
"4061-025-079","Warehousing, Distribution, Storage","1982","1","40021"
"7352-008-061","Warehousing, Distribution, Storage","1996","1","40020"
"021132127","storage warehouse","2005","1","40003"
"3022-001-018","Warehousing, Distribution, Storage","2005","1","39998"
"8536-001-022","Warehousing, Distribution, Storage","2000","1","39996"
"8011-020-026","Warehousing, Distribution, Storage","1993","1","39990"
"305170051","warehouse/dry storage","2010","1","39974"
"4149-001-152","Warehousing, Distribution, Storage","2020","1","39974"
"6303-007-044","Warehousing, Distribution, Storage","1999","1","39960"
"8245-001-071","Warehousing, Distribution, Storage","1987","1","39952"
"8728-023-031","Warehousing, Distribution, Storage","1968","1","39949"
"016751125","storage warehouse","2006","1","39948"
"020923411","storage warehouse","2004","1","39943"
"8546-031-059","Warehousing, Distribution, Storage","1991","1","39923"
"023615158","storage warehouse","1990","1","39921"
"6332-002-029","Warehousing, Distribution, Storage","1988","1","39915"
"7377-003-072","Warehousing, Distribution, Storage","1977","1","39914"
"022928427","storage warehouse","2020","1","39907"
"7005-006-053","Warehousing, Distribution, Storage","1979","1","39902"
"115670011","warehouse/dry storage","1999","1","39896"
"8167-004-048","Warehousing, Distribution, Storage","2005","1","39889"
"2243-001-002","Warehousing, Distribution, Storage","2003","1","39887"
"8760-007-041","Warehousing, Distribution, Storage","1988","1","39879"
"249070033","warehouse/dry storage","2003","1","39868"
"5532-028-018","Warehousing, Distribution, Storage","1987","1","39848"
"848131003","warehouse/dry storage","1953","1","39847"
"6308-005-023","Warehousing, Distribution, Storage","2018","1","39846"
"8125-016-025","Warehousing, Distribution, Storage","1980","1","39841"
"6332-002-084","Warehousing, Distribution, Storage","2014","1","39841"
"8264-020-053","Warehousing, Distribution, Storage","2010","1","39832"
"2404-007-018","Warehousing, Distribution, Storage","2002","1","39830"
"6264-019-065","Warehousing, Distribution, Storage","1987","1","39826"
"8405-003-024","Warehousing, Distribution, Storage","1985","1","39809"
"7157-039-024","Warehousing, Distribution, Storage","1974","1","39802"
"8168-013-020","Warehousing, Distribution, Storage","1989","1","39799"
"4129-033-901","Warehousing, Distribution, Storage","1961","1","39798"
"7005-004-046","Warehousing, Distribution, Storage","1998","1","39793"
"011336157","storage warehouse","2006","1","39788"
"7306-002-061","Warehousing, Distribution, Storage","1985","1","39780"
"2205-004-049","Warehousing, Distribution, Storage","2009","1","39777"
"8208-012-036","Warehousing, Distribution, Storage","1989","1","39776"
"7304-032-035","Warehousing, Distribution, Storage","1979","1","39773"
"957330023","warehouse/dry storage","1999","1","39772"
"024020155","storage warehouse","2007","1","39743"
"6336-013-007","Warehousing, Distribution, Storage","1955","1","39717"
"443131016","warehouse/dry storage","1961","1","39711"
"022911169","storage warehouse","2001","1","39710"
"8535-011-013","Warehousing, Distribution, Storage","1982","1","39706"
"7315-005-050","Warehousing, Distribution, Storage","1972","1","39689"
"8103-018-030","Warehousing, Distribution, Storage","1987","1","39660"
"014-131-05","wholesaling and warehousing","2014","1","39652"
"8615-002-022","Warehousing, Distribution, Storage","1962","1","39610"
"6132-003-027","Warehousing, Distribution, Storage","1991","1","39607"
"6129-002-027","Warehousing, Distribution, Storage","1966","1","39607"
"125020014","warehouse/dry storage","1910","1","39581"
"5172-013-005","Warehousing, Distribution, Storage","1951","1","39548"
"8264-023-020","Warehousing, Distribution, Storage","1997","1","39532"
"6132-040-024","Warehousing, Distribution, Storage","1966","1","39531"
"7318-005-057","Warehousing, Distribution, Storage","1979","1","39520"
"6132-007-023","Warehousing, Distribution, Storage","1967","1","39510"
"6226-034-002","Warehousing, Distribution, Storage","1973","1","39504"
"7429-034-015","Warehousing, Distribution, Storage","2003","1","39503"
"5362-016-005","Warehousing, Distribution, Storage","1949","1","39500"
"3271-031-001","Warehousing, Distribution, Storage","2020","1","39496"
"6129-021-043","Warehousing, Distribution, Storage","1963","1","39483"
"6129-008-063","Warehousing, Distribution, Storage","1974","1","39472"
"041010101","storage warehouse","1980","1","39470"
"6303-007-033","Warehousing, Distribution, Storage","1964","1","39450"
"8561-020-002","Warehousing, Distribution, Storage","2006","1","39397"
"8421-001-025","Warehousing, Distribution, Storage","1996","1","39390"
"5627-018-027","Warehousing, Distribution, Storage","1958","1","39384"
"7306-025-038","Warehousing, Distribution, Storage","1993","1","39380"
"6314-002-015","Warehousing, Distribution, Storage","2001","1","39367"
"102113209","storage warehouse","2004","1","39365"
"7212-020-006","Warehousing, Distribution, Storage","1973","1","39346"
"8009-025-010","Warehousing, Distribution, Storage","1967","1","39340"
"011336155","storage warehouse","2006","1","39334"
"6356-016-007","Warehousing, Distribution, Storage","1981","1","39334"
"2746-006-026","Warehousing, Distribution, Storage","1984","1","39332"
"8532-018-021","Warehousing, Distribution, Storage","2007","1","39325"
"7306-003-038","Warehousing, Distribution, Storage","1970","1","39306"
"3126-032-091","Warehousing, Distribution, Storage","2009","1","39304"
"7306-002-052","Warehousing, Distribution, Storage","1969","1","39299"
"020947105","storage warehouse","1995","1","39294"
"8710-012-018","Warehousing, Distribution, Storage","1989","1","39288"
"5409-004-015","Warehousing, Distribution, Storage","2006","1","39274"
"8760-024-051","Warehousing, Distribution, Storage","1996","1","39245"
"023815233","storage warehouse","2007","1","39224"
"011339552","storage warehouse","2006","1","39207"
"7316-028-007","Warehousing, Distribution, Storage","1982","1","39191"
"7001-013-091","Warehousing, Distribution, Storage","1983","1","39187"
"2520-018-005","Warehousing, Distribution, Storage","1963","1","39184"
"023014147","storage warehouse","2001","1","39183"
"6132-043-073","Warehousing, Distribution, Storage","1973","1","39180"
"7319-004-035","Warehousing, Distribution, Storage","1975","1","39114"
"6336-009-025","Warehousing, Distribution, Storage","1959","1","39075"
"5242-024-007","Warehousing, Distribution, Storage","1970","1","39074"
"5696-008-002","Warehousing, Distribution, Storage","1990","1","39063"
"102252131","storage warehouse","2005","1","39060"
"5118-025-002","Warehousing, Distribution, Storage","2003","1","39059"
"8168-002-403","Warehousing, Distribution, Storage","1998","1","39055"
"7003-013-010","Warehousing, Distribution, Storage","1980","1","39039"
"8707-015-065","Warehousing, Distribution, Storage","1987","1","39034"
"2319-022-001","Warehousing, Distribution, Storage","1970","1","39032"
"8264-006-042","Warehousing, Distribution, Storage","2007","1","39022"
"6310-010-014","Warehousing, Distribution, Storage","1962","1","39006"
"7212-021-022","Warehousing, Distribution, Storage","1973","1","39005"
"2466-013-014","Warehousing, Distribution, Storage","1910","1","38994"
"102120205","storage warehouse","2001","1","38990"
"435190016","warehouse/dry storage","1910","1","38978"
"023812156","storage warehouse","1999","1","38976"
"100753111","storage warehouse","2017","1","38974"
"7339-007-020","Warehousing, Distribution, Storage","1977","1","38968"
"680190039","warehouse/dry storage","1910","1","38940"
"7161-006-018","Warehousing, Distribution, Storage","1988","1","38938"
"8532-018-020","Warehousing, Distribution, Storage","1989","1","38933"
"2864-003-017","Warehousing, Distribution, Storage","1999","1","38926"
"025115139","storage warehouse","1925","1","38924"
"7102-012-016","Warehousing, Distribution, Storage","1976","1","38898"
"2631-034-025","Warehousing, Distribution, Storage","1986","1","38896"
"5447-019-005","Warehousing, Distribution, Storage","1947","1","38858"
"7352-018-044","Warehousing, Distribution, Storage","1986","1","38840"
"6336-004-018","Warehousing, Distribution, Storage","1962","1","38818"
"105611106","storage warehouse","2022","1","38812"
"013632104","storage warehouse","1958","1","38807"
"8760-013-008","Warehousing, Distribution, Storage","1980","1","38795"
"011364104","storage warehouse","1999","1","38784"
"102120204","storage warehouse","2001","1","38756"
"6304-010-005","Warehousing, Distribution, Storage","1954","1","38756"
"612142003","warehouse/dry storage","1976","1","38748"
"8760-030-008","Warehousing, Distribution, Storage","1991","1","38747"
"519350010","warehouse/dry storage","1995","1","38733"
"7306-006-035","Warehousing, Distribution, Storage","1960","1","38724"
"5127-021-024","Warehousing, Distribution, Storage","1973","1","38713"
"437230017","warehouse/dry storage","1980","1","38708"
"6102-005-025","Warehousing, Distribution, Storage","2002","1","38693"
"119142105","storage warehouse","1980","1","38683"
"011327126","storage warehouse","1991","1","38656"
"5342-012-022","Warehousing, Distribution, Storage","1977","1","38634"
"5224-006-015","Warehousing, Distribution, Storage","2021","1","38624"
"6336-002-014","Warehousing, Distribution, Storage","1963","1","38619"
"2631-003-029","Warehousing, Distribution, Storage","1957","1","38602"
"011341441","storage warehouse","2002","1","38594"
"102211113","storage warehouse","2006","1","38588"
"2537-023-028","Warehousing, Distribution, Storage","1986","1","38586"
"2206-001-017","Warehousing, Distribution, Storage","1962","1","38582"
"7116-018-024","Warehousing, Distribution, Storage","1984","1","38561"
"6126-001-015","Warehousing, Distribution, Storage","1947","1","38559"
"022933112","storage warehouse","1989","1","38557"
"5130-005-015","Warehousing, Distribution, Storage","1953","1","38548"
"2217-009-006","Warehousing, Distribution, Storage","2004","1","38538"
"5613-001-010","Warehousing, Distribution, Storage","1957","1","38534"
"4103-005-033","Warehousing, Distribution, Storage","1958","1","38525"
"025111115","storage warehouse","1958","1","38518"
"6302-015-029","Warehousing, Distribution, Storage","1962","1","38518"
"6125-013-037","Warehousing, Distribution, Storage","1969","1","38517"
"8009-007-057","Warehousing, Distribution, Storage","1989","1","38512"
"023602108","storage warehouse","1991","1","38509"
"6103-004-037","Warehousing, Distribution, Storage","1964","1","38507"
"101120117","storage warehouse","2006","1","38506"
"7318-021-033","Warehousing, Distribution, Storage","1981","1","38502"
"041522107","storage warehouse","1988","1","38478"
"8167-005-017","Warehousing, Distribution, Storage","2001","1","38439"
"028103180","storage warehouse","1987","1","38437"
"8009-022-063","Warehousing, Distribution, Storage","2001","1","38427"
"5167-009-030","Warehousing, Distribution, Storage","1987","1","38413"
"023602109","storage warehouse","1995","1","38402"
"102154119","storage warehouse","2001","1","38401"
"8264-017-050","Warehousing, Distribution, Storage","1998","1","38392"
"7212-021-028","Warehousing, Distribution, Storage","1975","1","38380"
"041520104","storage warehouse","2006","1","38370"
"7212-008-103","Warehousing, Distribution, Storage","1983","1","38366"
"7034-016-021","Warehousing, Distribution, Storage","1974","1","38340"
